 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.2007681343746623E+004	 +0.0000000000000000E+000	 -0.6814172441877834E+000	 +0.2007681343746623E+004	
      +2	 +0.1881581528295534E+004	 +0.0000000000000000E+000	 -0.5362593474960813E+000	 +0.1881581528295534E+004	
      +3	 +0.1905910906680077E+004	 +0.0000000000000000E+000	 -0.5696923447349416E+000	 +0.1905910906680077E+004	
      +4	 +0.1868988803822750E+004	 +0.0000000000000000E+000	 -0.4827554890887650E+000	 +0.1868988803822750E+004	
      +5	 +0.1883018780302138E+004	 +0.0000000000000000E+000	 -0.4690614213391129E+000	 +0.1883018780302138E+004	
      +6	 +0.1855770380862108E+004	 +0.0000000000000000E+000	 -0.4146289014570078E+000	 +0.1855770380862108E+004	
      +7	 +0.1863569769281236E+004	 +0.0000000000000000E+000	 -0.3960903909890744E+000	 +0.1863569769281236E+004	
      +8	 +0.1943475309336498E+004	 +0.0000000000000000E+000	 -0.5176855538107309E+000	 +0.1943475309336498E+004	
      +9	 +0.1911258491283040E+004	 +0.1458299698028968E+003	 -0.5957405691265379E+000	 +0.1765428521480143E+004	
     +10	 +0.1763544207523126E+004	 +0.2744719378853544E+004	 -0.6111177588200704E+000	 +0.0000000000000000E+000	
     +11	 +0.2010324704934645E+004	 +0.2184290920795116E+005	 -0.6124763900121459E+000	 +0.0000000000000000E+000	
     +12	 +0.1700179263803036E+004	 +0.6074842425549570E+005	 -0.6102762431635775E+000	 +0.0000000000000000E+000	
     +13	 +0.1389015160879280E+004	 +0.9964022977608320E+005	 -0.6272657633470260E+000	 +0.0000000000000000E+000	
     +14	 +0.1099319891931849E+004	 +0.8201947244852093E+005	 -0.6260045828683966E+000	 +0.0000000000000000E+000	
     +15	 +0.1150206512400512E+004	 +0.1064644150511839E+005	 -0.6270352436582978E+000	 +0.0000000000000000E+000	
     +16	 +0.7830193154997988E+003	 +0.1057209070139580E+004	 -0.6290205547546242E+000	 +0.0000000000000000E+000	
     +17	 +0.9578818313139685E+003	 +0.1452470996692527E+003	 -0.6286127485525219E+000	 +0.8126347316447159E+003	
     +18	 +0.1067535127648607E+004	 +0.0000000000000000E+000	 -0.3859284820487175E+000	 +0.1067535127648607E+004	
     +19	 +0.1157721872239134E+004	 +0.0000000000000000E+000	 -0.2970360809726977E+000	 +0.1157721872239134E+004	
     +20	 +0.1125312440409205E+004	 +0.0000000000000000E+000	 -0.2342489049397273E+000	 +0.1125312440409205E+004	
     +21	 +0.1206983384303773E+004	 +0.0000000000000000E+000	 -0.1823185105645199E+000	 +0.1206983384303773E+004	
     +22	 +0.1236787530971791E+004	 +0.0000000000000000E+000	 -0.1457616054319955E+000	 +0.1236787530971791E+004	
